trial,actualRadius,testRadius,step,guess
1,0.3982795121872076,0.3982795121872076,0,Smaller
2,0.4952068668935594,0.4456861802042035,-0.1,Smaller
3,0.6217835226678557,0.49742681813428463,-0.2,Smaller
4,0.47433982891011855,0.33203788023708297,-0.30000000000000004,Smaller
5,0.5681558045723164,0.3408934827433898,-0.4,Smaller
6,0.4580809175074443,0.22904045875372214,-0.5,Smaller
7,0.5272577309438143,0.21090309237752575,-0.6,Smaller
8,0.49901144556708327,0.149703433670125,-0.7,Smaller
9,0.47770241808041936,0.0955404836160839,-0.7999999999999999,Smaller
10,0.4959318363868148,0.04959318363868152,-0.8999999999999999,Smaller
