ID,age,gender,hand,ipd,vision,height,trial,sphereOne,sphereTwo,sphereThree,sphereFour,sphereFive,sphereSix,sphereSeven,sphereEight,sphereDistance, sphereAverageRadius,probeStartingRadius,probeAnswerRadius,probeScaleFactor,probeResponseTime,probeResponseOverTimeLimit
1,22,male,right,60,correctiveLenses,1.582517147064209,1,(1.5081702633739005;1.5561919371942106;6;0.29725352520065873),(1.0665998687417884;2.6491170158059973;6;0.3076979218240486),(0.1052206649956385;3.0872427604761277;6;0.34942279341361315),(-1.0478226860003517;2.66756930189503;6;0.3204053615314668),(-1.5047256134119187;1.4772964820685703;6;0.17414386012394867),(-1.0850521548308212;0.5346944610638575;6;0.3836639068521529),(0.13146572236056717;0.07985706446261998;6;0.28441940096504087),(1.066599868741788;0.5159172783224204;6;0.3862578756350111),6,0.3129080806932426,0.26950652388816,0.3275868642018328,1.2155062500000002,4.699625500000025,0
1,22,male,right,60,correctiveLenses,1.582517147064209,2,(1.502660082601589;1.7139828694247765;18;0.38392926367439095),(1.1031739235223568;2.6112434733824816;18;0.28842921296877533),(0.07894355639685667;3.088849937288008;18;0.17065935294205115),(-1.1555014380006663;2.552097977515385;18;0.4226467768366954),(-1.502660082601589;1.7139828694247765;18;0.31517764067747156),(-1.1031739235223568;0.5537908207459366;18;0.163222379834277),(0.07894355639685664;0.07618435684040992;18;0.4000974970275846),(1.009316606631701;0.46155749231410703;18;0.194239140721742),18,0.29230015808537346,0.3558867420174198,0.33893975430230455,0.9523809523809523,3.0554903999999965,0
1,22,male,right,60,correctiveLenses,1.582517147064209,3,(1.5084;1.582517147064209;18;0.41419289899188017),(0.9695808304511759;2.7380185850648755;18;0.3171075055092335),(0.1052206649956385;3.0872427604761277;18;0.25280181317580963),(-1.1209596547501013;2.591833753695911;18;0.24208464915542874),(-1.506332790223799;1.6614607034610653;18;0.346015413668473),(-1.0850521548308212;0.5346944610638575;18;0.29226784885796),(0.05264240082605293;0.07503602358860495;18;0.2801304336562682),(1.103173923522357;0.5537908207459366;18;0.3336935574223948),18,0.309786765054681,0.11466156343805081,0.30423126313845184,2.6532977051444226,1.8666624999999613,0
1,22,male,right,60,correctiveLenses,1.582517147064209,4,(1.507481123475604;1.5298747462381566;18;0.2381184122905485),(1.0850521548308214;2.6303398330645607;18;0.4032996603573947),(0.07894355639685667;3.088849937288008;18;0.2149550263520604),(-1.0665998687417881;2.6491170158059973;18;0.21895566853691073),(-1.502660082601589;1.4510514247036417;18;0.4259101331412823),(-1.0478226860003514;0.4974649922333876;18;0.18457598560297156),(-2.770885847750801e-16;0.07411714706420902;18;0.20795665880251105),(0.9895994393292808;0.4441132162561794;18;0.20253148090071807),18,0.26203787824804964,0.242004626973925,0.20905269579866104,0.863837598531476,2.1328664000000117,0
1,22,male,right,60,correctiveLenses,1.582517147064209,5,(1.5084;1.582517147064209;18;0.29066688180661976),(1.0478226860003514;2.66756930189503;18;0.24086149975461646),(0.1052206649956385;3.0872427604761277;18;0.3089179978285342),(-1.1031739235223568;2.6112434733824816;18;0.2043048131985619),(-1.507481123475604;1.5298747462381566;18;0.27985211813068833),(-1.1384039308080294;0.5929177077349281;18;0.19484846107609483),(0.13146572236056717;0.07985706446261998;18;0.2045750152774337),(1.066599868741788;0.5159172783224204;18;0.40749213600350487),18,0.2664398653845067,0.3131572989994641,0.24536693798666706,0.7835261664684589,1.1001322000000187,0
1,22,male,right,60,correctiveLenses,1.582517147064209,6,(1.5081702633739005;1.5561919371942106;6;0.2964418139547652),(1.1555014380006665;2.552097977515385;6;0.3463856157817536),(-0.07894355639685649;3.088849937288008;6;0.21095824907541036),(-1.0665998687417881;2.6491170158059973;6;0.3142534864827277),(-1.502660082601589;1.4510514247036417;6;0.3647916836313152),(-0.9695808304511762;0.4270157090635427;6;0.37271701842092714),(0.13146572236056717;0.07985706446261998;6;0.3348072418479171),(1.103173923522357;0.5537908207459366;6;0.3255907413965794),6,0.32074323132392446,0.2510111309632948,0.3894006499880378,1.5513282159785162,2.066698200000019,0
1,22,male,right,60,correctiveLenses,1.582517147064209,7,(1.5047256134119187;1.6877378120598476;18;0.15906512725124072),(1.0093166066317016;2.7034768018143103;18;0.31859272249492154),(-0.10522066499563865;3.0872427604761277;18;0.19976600050069337),(-1.1209596547501013;2.591833753695911;18;0.35024686761166424),(-1.507481123475604;1.6351595478902616;18;0.259060078687271),(-1.0478226860003514;0.4974649922333876;18;0.33517656425119036),(-0.1314657223605677;0.07985706446261998;18;0.36842586734220883),(1.085052154830821;0.5346944610638571;18;0.16234140774720082),18,0.26908432948579886,0.1073758022284351,0.22322658103959572,2.0789281794113683,1.3666549000000145,0
1,22,male,right,60,correctiveLenses,1.582517147064209,8,(1.5081702633739005;1.5561919371942106;12;0.18713219284252042),(1.0093166066317016;2.7034768018143103;12;0.31055587136124163),(-0.07894355639685649;3.088849937288008;12;0.3156025392993188),(-1.0093166066317016;2.7034768018143103;12;0.16093830024422878),(-1.5047256134119187;1.6877378120598479;12;0.3657129769116737),(-1.0093166066317016;0.4615574923141075;12;0.26768708743973213),(-0.05264240082605215;0.07503602358860495;12;0.22126723782512434),(1.103173923522357;0.5537908207459366;12;0.2045500245295049),12,0.2541807788066681,0.41301523288429043,0.18920703694225477,0.45811152199139993,1.9443571000000475,0
1,22,male,right,60,correctiveLenses,1.582517147064209,9,(1.5047256134119187;1.6877378120598476;18;0.22417460934392686),(1.0093166066317016;2.7034768018143103;18;0.20479488801886947),(-0.10522066499563865;3.0872427604761277;18;0.36551400649101035),(-1.0665998687417881;2.6491170158059973;18;0.3291557050284693),(-1.502660082601589;1.4510514247036417;18;0.35219360078316503),(-1.0287263263182729;0.4793432235418522;18;0.34526150763935903),(0.10522066499563848;0.07779153365229008;18;0.27266029237584477),(1.009316606631701;0.46155749231410703;18;0.15371732008333525),18,0.2809339912204975,0.17771162167510893,0.38792218301473996,2.1828745883819374,3.033346100000017,0
1,22,male,right,60,correctiveLenses,1.582517147064209,10,(1.5047256134119187;1.4772964820685703;18;0.4159530324426193),(1.0287263263182727;2.6856910705865658;18;0.21644522475173822),(0.07894355639685667;3.088849937288008;18;0.28984126524046655),(-1.0665998687417881;2.6491170158059973;18;0.34179775350884023),(-1.502660082601589;1.7139828694247765;18;0.41996333686349385),(-1.1031739235223568;0.5537908207459366;18;0.16379217411079838),(-0.1314657223605677;0.07985706446261998;18;0.2604817471244598),(1.103173923522357;0.5537908207459366;18;0.38473382502758635),18,0.31162604488375034,0.36129987529477836,0.25676907595034004,0.7106813301301212,1.1666730999999686,0
